Suburb,City,Price,SQFT,Price_per_sqft,Bedrooms,Bathrooms,Zip Code,House Type,Built,Remodeled,Country,Condition
Downtown Dubai,Dubai,"$1,992,888.00 ",858,"$2,322.71 ",1,1,25314,Apartment,2008,0,U.A.E,5
Jumeirah Lake Towers,Dubai,"$525,000.00 ",569,$922.67 ,1,1,25315,Apartment,2008,0,U.A.E,4
Dubai Marina,Dubai,"$1,990,000.00 ",1556,"$1,278.92 ",2,2,25314,Apartment,2011,0,U.A.E,4
Jumeirah Lake Towers,Dubai,"$767,000.00 ",811,$945.75 ,1,2,25315,Apartment,2023,0,U.A.E,4
Dubai Hills Estate,Dubai,"$1,096,888.00 ",650,"$1,687.52 ",1,1,25315,Apartment,2016,0,U.A.E,5
Dubai Hills Estate,Dubai,"$749,888.00 ",482,"$1,555.78 ",1,1,25315,Apartment,2020,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$900,000.00 ",1439,$625.43 ,2,3,25315,Apartment,2007,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$575,000.00 ",771,$745.78 ,1,2,25315,Apartment,2008,0,U.A.E,4
Palm Jumeirah,Dubai,"$1,650,000.00 ",1974,$835.87 ,2,4,25314,Apartment,2010,0,U.A.E,5
Dubai Marina,Dubai,"$1,600,000.00 ",977,"$1,637.67 ",1,2,25315,Apartment,2014,0,U.A.E,5
The Hills,Dubai,"$1,900,000.00 ",1436,"$1,323.12 ",2,3,25314,Apartment,2008,0,U.A.E,5
Dubai Marina,Dubai,"$1,700,000.00 ",1694,"$1,003.54 ",2,3,25314,Apartment,2010,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$1,150,000.00 ",1289,$892.16 ,2,2,25314,Apartment,2013,0,U.A.E,4
Dubai Marina,Dubai,"$1,200,000.00 ",1468,$817.44 ,2,3,25314,Apartment,2012,0,U.A.E,4
Business Bay,Dubai,"$1,400,000.00 ",864,"$1,620.37 ",1,2,25315,Apartment,2021,0,U.A.E,4
Jumeirah Lake Towers,Dubai,"$875,000.00 ",1327,$659.38 ,2,3,25315,Apartment,2020,0,U.A.E,4
Jumeirah Lake Towers,Dubai,"$640,000.00 ",897,$713.49 ,1,2,25314,Apartment,2007,0,U.A.E,4
Dubai Marina,Dubai,"$1,150,000.00 ",1684,$682.90 ,2,2,25315,Apartment,2008,0,U.A.E,4
Downtown Dubai,Dubai,"$1,275,000.00 ",812,"$1,570.20 ",1,1,25314,Apartment,2014,0,U.A.E,5
Downtown Dubai,Dubai,"$3,000,000.00 ",1150,"$2,608.70 ",2,2,25315,Apartment,2013,0,U.A.E,5
Downtown Dubai,Dubai,"$2,500,000.00 ",1900,"$1,315.79 ",3,4,25314,Apartment,2023,0,U.A.E,4
Downtown Dubai,Dubai,"$1,450,000.00 ",1020,"$1,421.57 ",1,1,25315,Apartment,2006,0,U.A.E,4
Downtown Dubai,Dubai,"$949,000.00 ",916,"$1,036.03 ",1,1,25315,Apartment,2021,0,U.A.E,4
Downtown Dubai,Dubai,"$880,000.00 ",847,"$1,038.96 ",1,2,25315,Apartment,2006,0,U.A.E,5
DIFC,Dubai,"$1,850,000.00 ",1634,"$1,132.19 ",2,3,25314,Apartment,2023,0,U.A.E,4
Jumeirah Beach Residence,Dubai,"$2,700,000.00 ",3000,$900.00 ,4,5,25314,Apartment,2018,0,U.A.E,4
Palm Jumeirah,Dubai,"$2,950,000.00 ",2248,"$1,312.28 ",3,2,25315,Apartment,2011,0,U.A.E,5
Jumeirah Village Triangle,Dubai,"$310,000.00 ",425,$729.41 ,0,1,25314,Apartment,2005,0,U.A.E,5
Palm Jumeirah,Dubai,"$3,600,000.00 ",2279,"$1,579.64 ",3,4,25315,Apartment,2018,0,U.A.E,5
Downtown Dubai,Dubai,"$3,999,900.00 ",2008,"$1,991.98 ",3,4,25315,Apartment,2005,0,U.A.E,5
Jumeirah Village Circle,Dubai,"$410,000.00 ",738,$555.56 ,1,1,25314,Apartment,2019,0,U.A.E,5
Mohammed Bin Rashid City,Dubai,"$2,100,000.00 ",1457,"$1,441.32 ",2,3,25315,Apartment,2009,0,U.A.E,5
Dubai Harbour,Dubai,"$1,464,888.00 ",867,"$1,689.61 ",1,1,25315,Apartment,2008,0,U.A.E,4
Dubai Marina,Dubai,"$1,199,999.00 ",1072,"$1,119.40 ",1,2,25314,Apartment,2011,0,U.A.E,4
Bluewaters,Dubai,"$3,150,000.00 ",1448,"$2,175.41 ",2,3,25314,Apartment,2019,0,U.A.E,5
Dubai Marina,Dubai,"$1,150,000.00 ",768,"$1,497.40 ",1,1,25314,Apartment,2008,0,U.A.E,4
Business Bay,Dubai,"$925,000.00 ",1395,$663.08 ,1,2,25314,Apartment,2006,0,U.A.E,5
Downtown Dubai,Dubai,"$4,500,000.00 ",1751,"$2,569.96 ",2,3,25314,Apartment,2021,0,U.A.E,4
Dubai Marina,Dubai,"$800,000.00 ",1219,$656.28 ,2,3,25314,Apartment,2018,0,U.A.E,4
Jumeirah Village Circle,Dubai,"$625,000.00 ",1007,$620.66 ,2,2,25315,Apartment,2009,0,U.A.E,4
Downtown Dubai,Dubai,"$2,650,000.00 ",1365,"$1,941.39 ",2,2,25315,Apartment,2008,0,U.A.E,5
DIFC,Dubai,"$2,400,000.00 ",2030,"$1,182.27 ",2,3,25315,Apartment,2008,0,U.A.E,5
DIFC,Dubai,"$2,050,000.00 ",1724,"$1,189.10 ",2,3,25315,Apartment,2008,0,U.A.E,5
DIFC,Dubai,"$5,800,000.00 ",3330,"$1,741.74 ",3,4,25314,Apartment,2011,0,U.A.E,5
Dubai Marina,Dubai,"$1,450,000.00 ",1970,$736.04 ,3,4,25315,Apartment,2017,0,U.A.E,5
Meydan,Dubai,"$758,500.00 ",590,"$1,285.59 ",1,1,25314,Apartment,2023,0,U.A.E,4
Al Furjan,Dubai,"$1,051,938.00 ",1191,$883.24 ,2,3,25314,Apartment,2018,0,U.A.E,5
Business Bay,Dubai,"$7,500,000.00 ",7344,"$1,021.24 ",3,5,25314,Apartment,2017,0,U.A.E,5
Jumeirah Village Circle,Dubai,"$600,000.00 ",670,$895.52 ,1,2,25315,Apartment,2016,0,U.A.E,5
Jumeirah,Dubai,"$14,000,000.00 ",3168,"$4,419.19 ",3,5,25315,Apartment,2015,0,U.A.E,4
The Views,Dubai,"$1,699,999.00 ",1642,"$1,035.32 ",2,2,25314,Apartment,2007,0,U.A.E,5
